iter	RMSE
0	1.798060455
1	1.646043193
2	1.517513709
3	1.40639394
4	1.313481812
5	1.233777296
6	1.167605002
7	1.113551155
8	1.069356506
9	1.034324471
10	1.005022341
11	0.981511965
12	0.9636817042
13	0.9489041433
14	0.9363005076
15	0.9264132686
16	0.9183388009
17	0.9115948311
18	0.9064091453
19	0.902392144
20	0.8989167829
21	0.8963058733
22	0.8943325292
23	0.8926843628
24	0.8912582567
25	0.8899759105
26	0.8890479981
27	0.8881374005
28	0.8875357231
29	0.8869590524
30	0.8863705411
31	0.8857531812
32	0.8853948813
33	0.8850067781
34	0.8846093334
35	0.8839511027
36	0.8834640867
37	0.8830844905
38	0.8825328748
39	0.8819199173
40	0.8814182372
41	0.8810671715
42	0.8805666149
43	0.8800680646
44	0.8794234955
45	0.879229755
46	0.8787405753
47	0.8784354343
48	0.8780836553
49	0.8777559787
50	0.877435822
51	0.8770125726
52	0.8763638582
53	0.8758957827
54	0.8757318013
55	0.8752834943
56	0.8747574678
57	0.8745128595
58	0.8743248115
59	0.8741607901
60	0.8737970427
61	0.8735428656
62	0.8733736822
63	0.873225694
64	0.8727357044
65	0.8724756304
66	0.8719746985
67	0.8717492313
68	0.8714669988
69	0.8712075565
70	0.8707171005
71	0.8702477211
72	0.8699010863
73	0.8696931621
74	0.8693093851
75	0.868961818
76	0.8686166826
77	0.8681908993
78	0.8677097278
79	0.8673907451
80	0.8670026747
81	0.866838267
82	0.8664148138
83	0.8660643204
84	0.8659109418
85	0.8656127756
86	0.8650405662
87	0.8647492877
88	0.8643255115
89	0.863882056
