iter	Passed	Remaining
0	15	1358
1	22	984
2	28	830
3	34	735
4	39	672
5	43	611
6	47	563
7	51	527
8	55	499
9	59	476
10	63	457
11	68	442
12	71	423
13	75	410
14	79	397
15	83	385
16	87	376
17	91	366
18	95	357
19	99	349
20	103	340
21	107	333
22	111	326
23	116	319
24	120	312
25	124	306
26	129	301
27	133	295
28	137	289
29	141	283
30	145	277
31	149	271
32	153	265
33	157	259
34	161	254
35	166	249
36	170	244
37	174	239
38	179	234
39	183	229
40	188	224
41	192	220
42	196	214
43	200	209
44	205	205
45	209	200
46	213	195
47	217	190
48	221	185
49	225	180
50	229	175
51	233	170
52	238	166
53	242	161
54	246	156
55	250	151
56	254	147
57	259	142
58	263	138
59	267	133
60	271	129
61	276	124
62	280	120
63	285	115
64	289	111
65	293	106
66	297	102
67	301	97
68	306	93
69	310	88
70	314	84
71	319	79
72	323	75
73	327	70
74	331	66
75	336	61
76	340	57
77	344	53
78	349	48
79	353	44
80	357	39
81	361	35
82	365	30
83	370	26
84	374	22
85	378	17
86	383	13
87	387	8
88	392	4
89	396	0
