point_id,hour,lat,lon,elevation,slope,predicted_wind_speed,wind_power_density,wind_utilization_rate,grid_proximity,road_distance,residential_distance,heritage_distance,geology_distance,water_distance,cost,normalized_wind_speed,normalized_utilization,composite_score,valid
0,0,32.494540626591046,35.43536548343569,355.6,14.1,7.65,274.59,0.9,0.43,778.8,1158.7,452.5,796.1,335.8,999.4,0.6375000000000001,1.0,0.7825,True
0,1,32.494540626591046,35.43536548343569,355.6,14.1,7.37,245.07,0.9,0.43,778.8,1158.7,452.5,796.1,335.8,999.4,0.6141666666666666,1.0,0.7685,True
0,2,32.494540626591046,35.43536548343569,355.6,14.1,7.51,259.56,0.9,0.43,778.8,1158.7,452.5,796.1,335.8,999.4,0.6258333333333334,1.0,0.7755000000000001,True
0,3,32.494540626591046,35.43536548343569,355.6,14.1,8.92,434.73,0.9,0.43,778.8,1158.7,452.5,796.1,335.8,999.4,0.7433333333333333,1.0,0.846,True
0,4,32.494540626591046,35.43536548343569,355.6,14.1,9.95,603.12,0.9,0.43,778.8,1158.7,452.5,796.1,335.8,999.4,0.8291666666666666,1.0,0.8975,True
0,5,32.494540626591046,35.43536548343569,355.6,14.1,9.04,452.99,0.9,0.43,778.8,1158.7,452.5,796.1,335.8,999.4,0.7533333333333333,1.0,0.852,True
0,6,32.494540626591046,35.43536548343569,355.6,14.1,8.64,394.76,0.9,0.43,778.8,1158.7,452.5,796.1,335.8,999.4,0.7200000000000001,1.0,0.8320000000000001,True
0,7,32.494540626591046,35.43536548343569,355.6,14.1,8.8,417.35,0.9,0.43,778.8,1158.7,452.5,796.1,335.8,999.4,0.7333333333333334,1.0,0.8400000000000001,True
0,8,32.494540626591046,35.43536548343569,355.6,14.1,9.74,566.27,0.9,0.43,778.8,1158.7,452.5,796.1,335.8,999.4,0.8116666666666666,1.0,0.887,True
0,9,32.494540626591046,35.43536548343569,355.6,14.1,8.9,432.25,0.9,0.43,778.8,1158.7,452.5,796.1,335.8,999.4,0.7416666666666667,1.0,0.845,True
0,10,32.494540626591046,35.43536548343569,355.6,14.1,9.65,550.57,0.9,0.43,778.8,1158.7,452.5,796.1,335.8,999.4,0.8041666666666667,1.0,0.8825000000000001,True
0,11,32.494540626591046,35.43536548343569,355.6,14.1,6.29,152.64,0.76,0.43,778.8,1158.7,452.5,796.1,335.8,999.4,0.5241666666666667,0.8444444444444444,0.6522777777777777,True
0,12,32.494540626591046,35.43536548343569,355.6,14.1,6.34,155.87,0.76,0.43,778.8,1158.7,452.5,796.1,335.8,999.4,0.5283333333333333,0.8444444444444444,0.6547777777777778,True
0,13,32.494540626591046,35.43536548343569,355.6,14.1,8.14,330.61,0.9,0.43,778.8,1158.7,452.5,796.1,335.8,999.4,0.6783333333333333,1.0,0.8069999999999999,True
0,14,32.494540626591046,35.43536548343569,355.6,14.1,5.3,91.05,0.76,0.43,778.8,1158.7,452.5,796.1,335.8,999.4,0.44166666666666665,0.8444444444444444,0.6027777777777777,True
0,15,32.494540626591046,35.43536548343569,355.6,14.1,8.16,333.02,0.9,0.43,778.8,1158.7,452.5,796.1,335.8,999.4,0.68,1.0,0.808,True
0,16,32.494540626591046,35.43536548343569,355.6,14.1,7.88,299.21,0.9,0.43,778.8,1158.7,452.5,796.1,335.8,999.4,0.6566666666666666,1.0,0.794,True
0,17,32.494540626591046,35.43536548343569,355.6,14.1,7.66,274.93,0.9,0.43,778.8,1158.7,452.5,796.1,335.8,999.4,0.6383333333333333,1.0,0.7829999999999999,True
0,18,32.494540626591046,35.43536548343569,355.6,14.1,4.18,44.7,0.76,0.43,778.8,1158.7,452.5,796.1,335.8,999.4,0.34833333333333333,0.8444444444444444,0.5467777777777778,False
0,19,32.494540626591046,35.43536548343569,355.6,14.1,5.68,112.45,0.76,0.43,778.8,1158.7,452.5,796.1,335.8,999.4,0.47333333333333333,0.8444444444444444,0.6217777777777778,True
0,20,32.494540626591046,35.43536548343569,355.6,14.1,5.03,77.85,0.76,0.43,778.8,1158.7,452.5,796.1,335.8,999.4,0.4191666666666667,0.8444444444444444,0.5892777777777778,True
0,21,32.494540626591046,35.43536548343569,355.6,14.1,7.47,255.36,0.9,0.43,778.8,1158.7,452.5,796.1,335.8,999.4,0.6224999999999999,1.0,0.7735,True
