hour,lat,lon,elevation,slope,predicted_wind_speed,grid_proximity,road_distance,residential_distance,heritage_distance,geology_distance,water_distance,cost
0,32.52110842446081,35.34451833425039,244,12.4,4,0.79,196.5,523,1257.1,600.8,721.1,1390.1
1,32.52110842446081,35.34451833425039,244,12.4,8.29,0.79,196.5,523,1257.1,600.8,721.1,1390.1
2,32.52110842446081,35.34451833425039,244,12.4,8.89,0.79,196.5,523,1257.1,600.8,721.1,1390.1
3,32.52110842446081,35.34451833425039,244,12.4,9.35,0.79,196.5,523,1257.1,600.8,721.1,1390.1
4,32.52110842446081,35.34451833425039,244,12.4,7.37,0.79,196.5,523,1257.1,600.8,721.1,1390.1
5,32.52110842446081,35.34451833425039,244,12.4,11.63,0.79,196.5,523,1257.1,600.8,721.1,1390.1
6,32.52110842446081,35.34451833425039,244,12.4,11.08,0.79,196.5,523,1257.1,600.8,721.1,1390.1
7,32.52110842446081,35.34451833425039,244,12.4,10.11,0.79,196.5,523,1257.1,600.8,721.1,1390.1
8,32.52110842446081,35.34451833425039,244,12.4,8.95,0.79,196.5,523,1257.1,600.8,721.1,1390.1
9,32.52110842446081,35.34451833425039,244,12.4,8.28,0.79,196.5,523,1257.1,600.8,721.1,1390.1
10,32.52110842446081,35.34451833425039,244,12.4,9.94,0.79,196.5,523,1257.1,600.8,721.1,1390.1
11,32.52110842446081,35.34451833425039,244,12.4,7.94,0.79,196.5,523,1257.1,600.8,721.1,1390.1
12,32.52110842446081,35.34451833425039,244,12.4,7.63,0.79,196.5,523,1257.1,600.8,721.1,1390.1
13,32.52110842446081,35.34451833425039,244,12.4,5.91,0.79,196.5,523,1257.1,600.8,721.1,1390.1
14,32.52110842446081,35.34451833425039,244,12.4,5.39,0.79,196.5,523,1257.1,600.8,721.1,1390.1
15,32.52110842446081,35.34451833425039,244,12.4,6.17,0.79,196.5,523,1257.1,600.8,721.1,1390.1
16,32.52110842446081,35.34451833425039,244,12.4,4,0.79,196.5,523,1257.1,600.8,721.1,1390.1
17,32.52110842446081,35.34451833425039,244,12.4,5.5,0.79,196.5,523,1257.1,600.8,721.1,1390.1
18,32.52110842446081,35.34451833425039,244,12.4,6.52,0.79,196.5,523,1257.1,600.8,721.1,1390.1
19,32.52110842446081,35.34451833425039,244,12.4,4.14,0.79,196.5,523,1257.1,600.8,721.1,1390.1
20,32.52110842446081,35.34451833425039,244,12.4,7.22,0.79,196.5,523,1257.1,600.8,721.1,1390.1
21,32.52110842446081,35.34451833425039,244,12.4,7.32,0.79,196.5,523,1257.1,600.8,721.1,1390.1
22,32.52110842446081,35.34451833425039,244,12.4,8.23,0.79,196.5,523,1257.1,600.8,721.1,1390.1
23,32.52110842446081,35.34451833425039,244,12.4,8.25,0.79,196.5,523,1257.1,600.8,721.1,1390.1
0,32.49918604947846,35.4181234437139,406.7,15.2,6.89,0.87,228.4,1025,548.1,1198.1,880.7,1421.7
1,32.49918604947846,35.4181234437139,406.7,15.2,9.36,0.87,228.4,1025,548.1,1198.1,880.7,1421.7
2,32.49918604947846,35.4181234437139,406.7,15.2,9.48,0.87,228.4,1025,548.1,1198.1,880.7,1421.7
3,32.49918604947846,35.4181234437139,406.7,15.2,9.32,0.87,228.4,1025,548.1,1198.1,880.7,1421.7
4,32.49918604947846,35.4181234437139,406.7,15.2,8.11,0.87,228.4,1025,548.1,1198.1,880.7,1421.7
5,32.49918604947846,35.4181234437139,406.7,15.2,9.59,0.87,228.4,1025,548.1,1198.1,880.7,1421.7
6,32.49918604947846,35.4181234437139,406.7,15.2,9.69,0.87,228.4,1025,548.1,1198.1,880.7,1421.7
7,32.49918604947846,35.4181234437139,406.7,15.2,7.6,0.87,228.4,1025,548.1,1198.1,880.7,1421.7
8,32.49918604947846,35.4181234437139,406.7,15.2,9.34,0.87,228.4,1025,548.1,1198.1,880.7,1421.7
9,32.49918604947846,35.4181234437139,406.7,15.2,6.03,0.87,228.4,1025,548.1,1198.1,880.7,1421.7
10,32.49918604947846,35.4181234437139,406.7,15.2,7.24,0.87,228.4,1025,548.1,1198.1,880.7,1421.7
11,32.49918604947846,35.4181234437139,406.7,15.2,7.35,0.87,228.4,1025,548.1,1198.1,880.7,1421.7
12,32.49918604947846,35.4181234437139,406.7,15.2,8.12,0.87,228.4,1025,548.1,1198.1,880.7,1421.7
13,32.49918604947846,35.4181234437139,406.7,15.2,8.79,0.87,228.4,1025,548.1,1198.1,880.7,1421.7
14,32.49918604947846,35.4181234437139,406.7,15.2,4.66,0.87,228.4,1025,548.1,1198.1,880.7,1421.7
15,32.49918604947846,35.4181234437139,406.7,15.2,4.41,0.87,228.4,1025,548.1,1198.1,880.7,1421.7
16,32.49918604947846,35.4181234437139,406.7,15.2,5.65,0.87,228.4,1025,548.1,1198.1,880.7,1421.7
17,32.49918604947846,35.4181234437139,406.7,15.2,7.92,0.87,228.4,1025,548.1,1198.1,880.7,1421.7
18,32.49918604947846,35.4181234437139,406.7,15.2,5.97,0.87,228.4,1025,548.1,1198.1,880.7,1421.7
19,32.49918604947846,35.4181234437139,406.7,15.2,5.03,0.87,228.4,1025,548.1,1198.1,880.7,1421.7
20,32.49918604947846,35.4181234437139,406.7,15.2,8.28,0.87,228.4,1025,548.1,1198.1,880.7,1421.7
21,32.49918604947846,35.4181234437139,406.7,15.2,7.77,0.87,228.4,1025,548.1,1198.1,880.7,1421.7
22,32.49918604947846,35.4181234437139,406.7,15.2,7.04,0.87,228.4,1025,548.1,1198.1,880.7,1421.7
23,32.49918604947846,35.4181234437139,406.7,15.2,7.02,0.87,228.4,1025,548.1,1198.1,880.7,1421.7
0,32.52696702995977,35.39219869742124,315.4,16.2,4.87,0.59,181.8,291.1,1176.7,384.4,909.3,1445.9
1,32.52696702995977,35.39219869742124,315.4,16.2,7.81,0.59,181.8,291.1,1176.7,384.4,909.3,1445.9
2,32.52696702995977,35.39219869742124,315.4,16.2,6.99,0.59,181.8,291.1,1176.7,384.4,909.3,1445.9
3,32.52696702995977,35.39219869742124,315.4,16.2,9.04,0.59,181.8,291.1,1176.7,384.4,909.3,1445.9
4,32.52696702995977,35.39219869742124,315.4,16.2,9.5,0.59,181.8,291.1,1176.7,384.4,909.3,1445.9
5,32.52696702995977,35.39219869742124,315.4,16.2,10.16,0.59,181.8,291.1,1176.7,384.4,909.3,1445.9
