lat,lon,elevation,slope,predicted_wind_speed,grid_proximity,road_distance,residential_distance,heritage_distance,geology_distance,water_distance,cost
30.574923487648135,109.76348262504179,400,6.6,5.26,0.2,334,834,967,1000,1073,1028.5
31.238784856274545,109.62595388538024,953.6,11.4,6.12,0.421,555,953,890,1272,1229,995.6
30.9140981414213,109.55900654030202,297.8,14.6,3.89,0.573,1350,1251,1428,748,1500,991.6
30.939007560363844,109.49712071271357,304.4,17.8,5.03,0.797,1500,1500,1500,1127,1500,965.3
30.818833371422254,109.48630228446545,404.8,14.4,4.72,0.306,833,1241,1119,930,1500,1069.9
31.266581646511533,109.09692972965797,421.3,23.5,5.71,0.202,380,493,508,886,1099,911.1
30.600315463879948,109.20001512212816,484.7,6.9,4.89,0.214,367,735,535,804,1151,883.2
31.25480816393743,109.19428460495033,434.5,23.2,5.81,0.238,377,1066,428,889,928,959
30.593053659742026,109.13844640972722,469,10.7,6.05,0.208,230,824,816,1136,978,955.3
31.03652313602611,109.07163018609047,732.5,6.6,5.74,0.202,176,452,524,1167,1168,905.4
31.249174303725983,109.55077933263313,707.2,6.6,6.08,0.301,832,327,528,750,627,1030.5
30.60455248366894,109.04933975519069,451.2,22.7,5.24,0.203,394,1097,1036,781,699,994.6
31.320915009369752,109.58958010158386,686.5,9,5.91,0.316,350,1093,729,807,996,901.6
30.897676680087123,109.34515130096189,820.3,8.4,5.58,0.278,358,992,603,1500,1052,1021.3
31.25646206876903,109.46326334304362,501.4,23.2,5.31,0.293,562,1127,946,599,607,971.5
31.118727784034803,109.61339395965238,815.5,6.9,4.79,0.289,611,326,897,1261,1082,941.3
31.10161455008649,109.3543791020935,547.1,0,6.05,0.549,608,1274,627,564,980,902.7
30.804445870598045,109.66375173678432,388.4,15.4,4.71,0.205,620,1193,814,724,1001,940.3
31.068641892574007,109.37396519835374,551.1,12.9,5.48,0.478,816,1141,1061,1283,1500,1048.6
30.870362194956957,109.33704567250835,851,10.2,5.08,0.28,503,1170,701,1500,1113,997.2
31.130118669078424,109.63019519638522,890.8,8.3,6.49,0.309,714,627,478,1500,808,1017.2
31.008191528253594,109.12905916544325,926.3,11.5,6.06,0.211,277,321,517,1296,776,974.3
31.302577904702613,109.29288510331219,413.1,13.9,4.92,0.268,339,1141,666,732,1057,1028.9
30.95293580658633,109.25839290923584,1074.3,13.4,7.36,0.262,222,566,585,1500,1133,1026.7
31.332587928450614,109.60250073132644,683.8,7.9,5.6,0.322,321,657,436,666,750,1003.6
30.813071216084843,109.51143071794284,382.3,14,4.16,0.291,1089,572,1500,575,1500,1004
30.592769297700745,109.02493329120495,435.1,4.1,4.22,0.201,288,464,1224,501,1255,991.2
31.332774771368804,109.52976588490579,548.4,8.6,5.88,0.246,554,308,869,647,943,958.9
30.898968186410105,109.69977961552864,411.8,22.2,4.5,0.209,466,312,1264,1132,885,929.3
31.161416332545105,109.6952693042396,1062.7,10,7.19,0.394,511,589,653,1396,795,947.6
30.545443104524878,109.02309222355393,415.8,13.3,4.36,0.2,158,523,1127,662,827,949.1
31.229785259479332,109.62452912856706,960.8,5.8,6.12,0.415,861,839,799,1281,1087,1089
31.311937951682324,109.53529331654558,587.1,12.7,5.06,0.261,526,1030,535,838,1216,1018.1
31.295644030663844,109.24119404406352,415.8,13,5.24,0.244,373,1188,874,828,842,985.2
31.16780314736804,109.47924720850975,533.9,18.1,4.57,0.347,500,917,817,840,660,993.8
31.102017846016086,109.30627057635668,610.7,11,5.48,0.504,546,1400,483,628,932,887.7
31.130542812749415,109.08160495132155,549.2,13.7,4.48,0.203,391,334,828,1219,851,953.3
31.155698036645187,109.3034136303393,519.4,12.7,5.2,0.546,377,1006,597,1140,1219,940.8
30.752300922803716,109.7162720110458,398.7,22.4,4.56,0.2,173,1162,644,1203,1164,988.9
31.220013862500124,109.51454569962713,619.5,0,6.13,0.29,683,778,551,669,836,960.5
30.692257030359833,109.54949809631398,406.5,8,4.63,0.201,592,892,1053,809,850,980.6
30.90440242308965,109.61600103193007,348.7,9.5,4.67,0.327,890,1161,522,528,1500,1006.1
30.664757550421612,109.367263514896,498.2,16.7,5.16,0.208,338,827,439,796,1001,923.5
31.35813709750973,109.2739230967289,404.4,7.2,5.15,0.215,372,1064,1197,1031,853,916.2
30.67215312120349,109.38492193409452,490.8,13.2,5.47,0.206,291,1062,1123,570,1042,913.8
30.743762083916955,109.07630200505247,696.4,5,5.34,0.286,238,482,1254,672,689,937.2
